"","x"
"1","

							

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																당신이 무의미하다고 느끼는 일상의 나열같은 인생도 무의미하지 않다는걸 보여주는 연출에서 강한 인상을 받았습니다 눈에 보이지 않는 ""삶의 목적""만 찾다가 현재를 낭비하지말고 살아간다는 자체를 즐기세요! 

															

														

														

													

												

												

														

															

																SIN(ultr****)

															

														

														2021.01.20 13:41

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													3109

												

												

													

													비공감

													75

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

																

																	

																		인생은 목적이 있어서, 이유가 있어서 사는게 아니라 사는 그 자체가 인생의 목적과 이유가 될수 있다는게 마음이 어딘가 슬프고 벅찬 느낌이 들었다. 나는 왜 태어났지, 내 인생의 불꽃은 뭔지 그걸 꼭 알아내고 찾아야만...

																	

																

															

															

														

														

													

												

												

														

															

																복이와요(be1i****)

															

														

														2021.01.20 16:27

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													2448

												

												

													

													비공감

													63

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																목적 없이 산다고 혼나는 줄 알았다. 

															

														

														

													

												

												

														

															

																kjc(jin3****)

															

														

														2021.01.20 12:59

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													1710

												

												

													

													비공감

													81

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																진짜 내 인생 애니메이션으로 등극.. 

															

														

														

													

												

												

														

															

																즌므승(9mym****)

															

														

														2021.01.20 14:51

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													1125

												

												

													

													비공감

													52

												

											

										

									

										

										

										

											

												

													8

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																삶을 살아가면서 꼭 무엇을 이루기 위해 앞만 보고 치열하게 사는 삶에서 그저 하루하루에 감사하며 그 하루의 소중한 시간들을 즐기며 살아가야함을 다시 생각하게 됩니다. 

															

														

														

													

												

												

														

															

																grac****

															

														

														2021.01.20 14:48

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													915

												

												

													

													비공감

													33

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

														

													

													

														스포일러가 포함된 감상평입니다. 감상평 보기

													

													

														

															

															

																눈물 주륵주륵테리 너무 귀여움젊은 물고기가 나이 든 물고기에게바다는 어딘가요?여기는 그냥 물이잖아요,,무슨 소리니 여기가 바단데그렇게 꿈꿨던 순간을 이뤄도 허무함은 올 수 있다매 순간 즐기고 행복하기를 

															

														

														

													

												

												

														

															

																김서연(ksy9****)

															

														

														2021.01.20 13:46

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													852

												

												

													

													비공감

													36

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																방황을 많이 했는데, 다시 열심히 살아야겠다는 생각이 드네요. 좋습니다~^^ 

															

														

														

													

												

												

														

															

																등대원(emso****)

															

														

														2021.01.20 15:38

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													562

												

												

													

													비공감

													27

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																역시 믿고 보는 갓픽사!작년 12월달 부터 기다려서 영화보러 영화관갔는데 정말 이로 말할수 없는 스토리와 하며 ost와 영상미 너무 최고였어요!나오자마자 얼른 달려가서 봤는데 잘한 선택 같아요! 

															

														

														

													

												

												

														

															

																유영서(koja****)

															

														

														2021.01.20 16:27

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													416

												

												

													

													비공감

													28

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																역시 픽사는 최고다.. 기다린 만큼 재밌었고 감동적! 

															

														

														

													

												

												

														

															

																아기상어(ekct****)

															

														

														2021.01.20 14:10

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													370

												

												

													

													비공감

													27

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																너무 귀여웠고 내용도 좋았어요 

															

														

														

													

												

												

														

															

																핫둘셋a(blue****)

															

														

														2021.01.20 14:54

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													248

												

												

													

													비공감

													22

												

											

										

									

								

								

							"
"2","

							

											

												

													10

												

											

											

												

													

													

													

													

													

													

														

															

															

																우리는 그냥 물이 아니라 바다 속에 살고 있었어 

															

														

														

													

												

												

														

															

																x260****

															

														

														2021.01.21 17:12

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													18

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																보잘것없고 무의미해 보이는 인생일지라도 순간순간이 나만의 불꽃이 될 수 있음을 깨닫게 됨. 모든 아름다움을 즐기며 살고 싶어짐.... 시궁창 같은 인생이라 생각했으나 살 용기를 주는 영화. 

															

														

														

													

												

												

														

															

																sayyestoheaven(3630****)

															

														

														2021.01.27 22:51

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													17

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																꿈꾼다는건 좋은일이라지만 그것보다 중요한게 매순간이라고 느꼈습니다 감사합니다 

															

														

														

													

												

												

														

															

																김준하(8906****)

															

														

														2021.01.22 16:38

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													17

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																요즘 영화도 맘대로 못보고 있다가 오랜만에 극장에서 보는 영화였는데 울고 웃으며 위로 받고 왔네요 좋은 영화 개봉해줘서 감사합니다 

															

														

														

													

												

												

														

															

																고재우(koow****)

															

														

														2021.01.22 13:24

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													17

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													

													

													

													

													

													

														

															

															

																소울>>>>원더우먼 

															

														

														

													

												

												

														

															

																벚꽃의계절(twic****)

															

														

														2021.01.20 12:07

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													18

												

												

													

													비공감

													1

												

											

										

									

										

										

										

											

												

													8

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																중간에 쪼금 지루한 부분이 없지않지만... 픽사 특유의 생각치 못한 감동을 주는 부분이 있어서 좋았어요 

															

														

														

													

												

												

														

															

																뽕뽕뽕(olds****)

															

														

														2021.01.20 16:02

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													19

												

												

													

													비공감

													2

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													

													

													

													

													

													

														

															

															

																처음에 영화관 잘 못 들어온 줄 

															

														

														

													

												

												

														

															

																rin(rinh****)

															

														

														2021.01.20 12:49

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													19

												

												

													

													비공감

													2

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													

													

													

													

													

													

														

															

															

																픽사 최고 영화중 하나.. 펑펑 울었다 

															

														

														

													

												

												

														

															

																Peter(pete****)

															

														

														2021.01.20 10:27

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													20

												

												

													

													비공감

													3

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																모든사람이 보았으면 좋겠습니다깊은내용을 기분좋은 여운으로 느끼게해줍니다 

															

														

														

													

												

												

														

															

																스윗쿠키(kitt****)

															

														

														2021.01.25 15:11

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													16

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																하루하루 의미있게 살면 멋진 인생이 될거라는 위안을 받을 수 있었습니다. 

															

														

														

													

												

												

														

															

																09아름맘(ssul****)

															

														

														2021.01.25 07:40

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													15

												

												

													

													비공감

													0

												

											

										

									

								

								

							"
"3","

							

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																이 영화를 보고 평생 받은 스트레스와 압박감에서해방될 수 있었다 

															

														

														

													

												

												

														

															

																야채(cot1****)

															

														

														2021.01.30 10:51

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													6

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																지나오면 다 평범하고 그저그런 시간이었다 여겨지지만, 그때 나는 얼마나 행복했었나를 떠올리다보면 어느하나 보석같지않은 순간이 없다는 생각이 들게하는 영화였습니다 

															

														

														

													

												

												

														

															

																달(cise****)

															

														

														2021.01.28 02:59

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													6

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																꼭 목적이 있어야만 사는 건 아니다 

															

														

														

													

												

												

														

															

																후폭풍(emme****)

															

														

														2021.01.24 22:50

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													6

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													6

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																그냥그랬어요 기대해서 그런가 

															

														

														

													

												

												

														

															

																숨숨이(r_wo****)

															

														

														2021.01.29 13:02

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													11

												

												

													

													비공감

													5

												

											

										

									

										

										

										

											

												

													2

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																지루했다 기대한것보다는 실망이ㅜ 

															

														

														

													

												

												

														

															

																솜(thal****)

															

														

														2021.02.11 21:26

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													12

												

												

													

													비공감

													6

												

											

										

									

										

										

										

											

												

													6

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																음.재미는별로.없는것같은. 

															

														

														

													

												

												

														

															

																love****

															

														

														2021.02.02 19:02

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													13

												

												

													

													비공감

													7

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

																

																	

																		나는 지금까지 인생을 살면서 목표나 기준이 있고, 그것을 이루어야만 행복한 인생인줄 알았다. 나의 쓸모를 증명해내려고 애썼다. 그리고 끊임없이 불행했다. 어떤 목적이나 목표를 이룬 다음에 느끼는 허무함 내지는 공허함...

																	

																

															

															

														

														

													

												

												

														

															

																alsrud(ysy1****)

															

														

														2021.02.25 23:54

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													5

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													

													

													

													

													

													

														

															

															

																우리 삶의 목적은 태어나기 위함이다. 

															

														

														

													

												

												

														

															

																박범진(scie****)

															

														

														2021.02.17 01:20

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													5

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																남자친구랑 같이 봤는데 지금 시기에 딱 보기 좋았어요^^ 행복은 찾아다닐 필요없이 특별한게 아니라 지금 이순간 이미 행복하게 살고 있는 우리가 아닐까 하고 생각했어요~ COVID 19 뿌셔 

															

														

														

													

												

												

														

															

																용 이(thsr****)

															

														

														2021.02.15 22:56

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													5

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																이 영화를 보고 맘이 참 편치않네요.난 일상을 즐기고 사는지.. 

															

														

														

													

												

												

														

															

																박기정(rlwj****)

															

														

														2021.02.15 20:35

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													5

												

												

													

													비공감

													0

												

											

										

									

								

								

							"
"4","

							

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																픽사는 지불한 값을 배반하지 않음 

															

														

														

													

												

												

														

															

																덥썩(aiex****)

															

														

														2021.02.14 18:26

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													4

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																엉엉 울다왔습니다 ㅠㅠ 너무 좋아요 

															

														

														

													

												

												

														

															

																scj1****

															

														

														2021.02.14 14:00

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													4

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																펑펑 울며 보았네요.많은 것을 느끼게 해 주고 기분좋게 해 주는 영화였습니다. 

															

														

														

													

												

												

														

															

																낭이(sain****)

															

														

														2021.02.14 12:20

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													4

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																코시국에 가슴따뜻해지는 영화입니다. 요즘은 자주 내가 사회에 쓸모가 있는건가 잘하고 있는건가  달려나가야되지않나..하는 잡생각이 많은데 이영화를보고 위로받고 가네요 

															

														

														

													

												

												

														

															

																김설(kims****)

															

														

														2021.02.12 18:44

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													4

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																진정한 삶에서의 의미를 깨닫게 해준 영화,캐릭터들이 너무 귀여워서 보는 내내 미소짓게 만든 영화. 

															

														

														

													

												

												

														

															

																캔디잔다(home****)

															

														

														2021.02.09 20:44

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													4

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																누구든 분명한 재능이나 운명같은 목표없이는 무의미한 삶이라고 착각하기 쉬운데, 그 착각을 완전히 깨준 고마운 영화. 사는 것 자체가 의미였음을:> 

															

														

														

													

												

												

														

															

																플립(burs****)

															

														

														2021.02.09 17:43

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													4

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																개인적으로는 인생영화에 들어가네요! 개인의 정체성과 삶의 이유에 대한 깊은 생각을 하게 해주는 좋은 영화라고 생각됩니다 

															

														

														

													

												

												

														

															

																nana02(blue****)

															

														

														2021.02.09 16:08

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													4

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																중3이라 고등학교 입시준비며 답을 찾지 못했는데 이영화를 보고 힌트를 얻은 느낌이에요 

															

														

														

													

												

												

														

															

																싱글벙글(lsjy****)

															

														

														2021.02.09 15:38

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													4

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																물이 아닌 바다에서 이미 살고 있는 나진정한 삶의 의미를 찾아 헤매지만 지금 숨쉬고 느끼는 그 자체가 삶이었다는 것 

															

														

														

													

												

												

														

															

																인자혜(jahy****)

															

														

														2021.02.08 10:22

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													4

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													9

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																초6초4 남자아이둘과 같이 보았습니다. 돌비관에서 관람하길 잘한 것 같습니다. 아이들이 재미없었다고 할까봐 걱정했는데 둘 다 재미있게 보았다고 해줘서 정말 다행이다 싶습니다. 전 무척 즐겁게 보았습니다. 

															

														

														

													

												

												

														

															

																세아(kubl****)

															

														

														2021.02.07 16:13

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													4

												

												

													

													비공감

													0

												

											

										

									

								

								

							"
"5","

							

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																잔잔한 스토리 귀여운 캐릭터에 감동코드까지 

															

														

														

													

												

												

														

															

																ㅎㅎㅎ(lah9****)

															

														

														2021.02.15 13:47

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													3

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																너무 감동적이고 재미있었습니다 

															

														

														

													

												

												

														

															

																김하연(pkhy****)

															

														

														2021.02.15 13:47

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													3

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													

													

													

													

													

													

														

															

															

																의미있는 인생에 집착하던 태도가 오히려 인생의 진정한 의미로부터 단절되게 만들었다니...이제부터 모든 것에 감사하며 ‘살아있음’을 부정하지 않아야겠습니다 기꺼이 누구에게나 추천하고 싶은 작품은 처음입니다 

															

														

														

													

												

												

														

															

																황예하(yeha****)

															

														

														2021.02.15 13:44

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													3

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													8

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																오랜만에 어른이 디즈니영화를 보며 잠시 울컥하는 그리고 내 삶을 돌아보게 하는 영화였습니다. 내 삶을 어둡지않게 되돌아 볼 수 있어서 좋았습니다 

															

														

														

													

												

												

														

															

																bk(bklo****)

															

														

														2021.02.15 13:38

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													3

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													

													

													

													

													

													

														

															

															

																마음을 울리는 어른들을 위한 영화...!일상의 행복을 감사하며.. 

															

														

														

													

												

												

														

															

																뚜요니(fale****)

															

														

														2021.02.15 12:33

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													3

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																디즈니스러운 즐거운 영화 

															

														

														

													

												

												

														

															

																페넷(fane****)

															

														

														2021.02.15 10:27

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													3

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																어른이 봐도 느껴지는게 많을만큼 스토리가 좋아요. 잔잔하지만 큰 울림을 주는 영화에요. 

															

														

														

													

												

												

														

															

																Dahee Lee(dahe****)

															

														

														2021.02.15 09:34

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													3

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																반복된 일상을 다시한번 소중하게 느낄수 있게 해준 영화!매순간을 감사하며 즐겁게 살자!영상도 스토리도 영혼들을 주제로 신선함 

															

														

														

													

												

												

														

															

																메리다(ssyy****)

															

														

														2021.02.15 09:06

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													3

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																마음이 따뜻해지는 영화입니다. 

															

														

														

													

												

												

														

															

																나야천국(wwws****)

															

														

														2021.02.15 01:03

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													3

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																좋아요 잘f습니다 좋아요 

															

														

														

													

												

												

														

															

																너엉엉(wtng****)

															

														

														2021.02.15 00:47

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													3

												

												

													

													비공감

													0

												

											

										

									

								

								

							"
"6","

							

											

												

													1

												

											

											

												

													

													

													

													

													

													

														

															

															

																초반부 난 진짜 지루해 죽겠음. 결국엔 집에서 보다가 다른거 틈(여기에 싫어요 또 왕창 달리겠지 하지만 내 개인적인 의견인데 뭐 어때) 

															

														

														

													

												

												

														

															

																Saew00(bona****)

															

														

														2021.02.19 22:07

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													6

												

												

													

													비공감

													3

												

											

										

									

										

										

										

											

												

													7

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																저는 조금 지루했어요. 졸았네요..;; 

															

														

														

													

												

												

														

															

																여름잎사귀(sabi****)

															

														

														2021.02.02 16:41

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													6

												

												

													

													비공감

													3

												

											

										

									

										

										

										

											

												

													1

												

											

											

												

													

													

													

													

													

													

														

															

																

																	

																		대단한 성공만이 인생의 목표는 아니다라는 지극히 뻔한 주제를 전달하려고 개연성 낮은 공감 전혀 안되는 망상에 가까운 지루한 스토리 참느라 혼났네요 이런 영화 보고 무슨 삶을 열심히 살아갈 희망을 얻었다는 사람 한번 ...

																	

																

															

															

														

														

													

												

												

														

															

																파밀리아(bich****)

															

														

														2021.01.29 13:23

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													7

												

												

													

													비공감

													4

												

											

										

									

										

										

										

											

												

													2

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																기대보다는 역시... 

															

														

														

													

												

												

														

															

																ㅇㅇㅇ(vjsc****)

															

														

														2021.02.02 16:34

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													8

												

												

													

													비공감

													5

												

											

										

									

										

										

										

											

												

													1

												

											

											

												

													

													

													

													

													

													

														

															

															

																픽사도 점점 디즈니식 얼렁뚱땅 엔딩으로 가고있네;; 죽어도 살아도 이상한감정만 남는다이거보고 인생 바뀔리 없음 

															

														

														

													

												

												

														

															

																백정이(0ffi****)

															

														

														2021.01.21 01:19

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													8

												

												

													

													비공감

													5

												

											

										

									

										

										

										

											

												

													8

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																기대를 많이하고 봐서 그런지... 생각보다는 그닥 

															

														

														

													

												

												

														

															

																lan(lany****)

															

														

														2021.01.25 23:29

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													9

												

												

													

													비공감

													6

												

											

										

									

										

										

										

											

												

													8

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																기대보다는 미미했던 감동, 어설프지만 나쁘지 않은 케미 

															

														

														

													

												

												

														

															

																윤성(ys07****)

															

														

														2021.01.20 13:45

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													15

												

												

													

													비공감

													12

												

											

										

									

										

										

										

											

												

													8

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																개인적으로 조금 지루했지만 많은 것을 느끼게 된 영화 

															

														

														

													

												

												

														

															

																오민주(minj****)

															

														

														2021.01.20 13:22

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													35

												

												

													

													비공감

													32

												

											

										

									

										

										

										

											

												

													9

												

											

											

												

													관람객

													

													

													

													

													

														

															

															

																영화 보고 바깥으로 나오니 모든게 신선하고 소중하게 느껴지네요 좋은 영화였습니다:) 

															

														

														

													

												

												

														

															

																전설(tpal****)

															

														

														2021.03.18 22:13

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													2

												

												

													

													비공감

													0

												

											

										

									

										

										

										

											

												

													10

												

											

											

												

													관람객

													

													

													

														

													

													

														스포일러가 포함된 감상평입니다. 감상평 보기

													

													

														

															

															

																너무 재밌고 감동적이예요! 꼭 무언가를 목표로 하고 이루는 인생만이 특별한 가치가 있는 게 아니라, 모든 이들이 살아가는 매 순간이 특별하다고 느껴지는 영화였어요 

															

														

														

													

												

												

														

															

																Ribbon(vkfk****)

															

														

														2021.03.16 12:47

													

													

														

															

															

																신고

															

														

													

												

											

												

													

													공감

													2

												

												

													

													비공감

													0

												

											

										

									

								

								

							"
